chr1	1840000	1840001
chr1	2320000	2320001
chr1	3600000	3600001
chr1	6000000	6000001
chr1	6440000	6440001
chr1	7920000	7920001
chr1	8320000	8320001
chr1	8880000	8880001
chr1	9600000	9600001
chr1	10400000	10400001
chr1	11000000	11000001
chr1	12040000	12040001
chr1	12240000	12240001
chr1	12680000	12680001
chr1	13080000	13080001
chr1	15320000	15320001
chr1	15720000	15720001
chr1	16240000	16240001
chr1	16720000	16720001
chr1	17160000	17160001
chr1	17600000	17600001
chr1	19080000	19080001
chr1	19880000	19880001
chr1	20720000	20720001
chr1	21400000	21400001
chr1	21880000	21880001
chr1	22240000	22240001
chr1	22840000	22840001
chr1	23160000	23160001
chr1	23480000	23480001
chr1	23960000	23960001
chr1	24840000	24840001
chr1	25040000	25040001
chr1	25440000	25440001
chr1	26040000	26040001
chr1	26680000	26680001
chr1	27120000	27120001
chr1	27520000	27520001
chr1	28000000	28000001
chr1	28440000	28440001
chr1	28840000	28840001
chr1	29400000	29400001
chr1	30960000	30960001
chr1	32320000	32320001
chr1	32640000	32640001
chr1	33320000	33320001
chr1	33720000	33720001
chr1	35000000	35000001
chr1	36320000	36320001
chr1	36720000	36720001
chr1	38040000	38040001
chr1	39080000	39080001
chr1	39800000	39800001
chr1	40000000	40000001
chr1	40280000	40280001
chr1	40760000	40760001
chr1	41240000	41240001
chr1	43000000	43000001
chr1	43400000	43400001
chr1	44240000	44240001
chr1	44960000	44960001
chr1	45800000	45800001
chr1	46600000	46600001
chr1	48160000	48160001
chr1	50600000	50600001
chr1	51560000	51560001
chr1	52040000	52040001
chr1	52600000	52600001
chr1	52920000	52920001
chr1	53480000	53480001
chr1	54080000	54080001
chr1	55280000	55280001
chr1	57040000	57040001
chr1	58760000	58760001
chr1	60080000	60080001
chr1	62320000	62320001
chr1	62640000	62640001
chr1	63040000	63040001
chr1	63760000	63760001
chr1	64520000	64520001
chr1	65280000	65280001
chr1	65960000	65960001
chr1	66480000	66480001
chr1	66960000	66960001
chr1	67760000	67760001
chr1	68040000	68040001
chr1	68680000	68680001
chr1	71280000	71280001
chr1	74960000	74960001
chr1	77360000	77360001
chr1	77920000	77920001
chr1	78360000	78360001
chr1	78920000	78920001
chr1	80440000	80440001
chr1	84120000	84120001
chr1	85520000	85520001
chr1	86600000	86600001
chr1	87320000	87320001
chr1	88880000	88880001
chr1	89120000	89120001
chr1	90280000	90280001
chr1	91640000	91640001
chr1	92200000	92200001
chr1	92560000	92560001
chr1	92880000	92880001
chr1	94160000	94160001
chr1	94720000	94720001
chr1	95360000	95360001
chr1	97080000	97080001
chr1	98800000	98800001
chr1	100000000	100000001
chr1	101640000	101640001
chr1	103840000	103840001
chr1	108120000	108120001
chr1	108480000	108480001
chr1	109760000	109760001
chr1	110120000	110120001
chr1	110400000	110400001
chr1	110840000	110840001
chr1	112720000	112720001
chr1	113040000	113040001
chr1	113440000	113440001
chr1	114120000	114120001
chr1	115120000	115120001
chr1	116120000	116120001
chr1	116920000	116920001
chr1	117400000	117400001
chr1	117640000	117640001
chr1	118320000	118320001
chr1	120080000	120080001
chr1	121080000	121080001
chr1	142200000	142200001
chr1	144480000	144480001
chr1	146320000	146320001
chr1	148480000	148480001
chr1	149520000	149520001
chr1	150280000	150280001
chr1	151560000	151560001
chr1	152240000	152240001
chr1	152400000	152400001
chr1	153440000	153440001
chr1	155160000	155160001
chr1	156360000	156360001
chr1	157360000	157360001
chr1	158240000	158240001
chr1	159400000	159400001
chr1	159640000	159640001
chr1	160000000	160000001
chr1	160760000	160760001
chr1	161040000	161040001
chr1	161600000	161600001
chr1	163360000	163360001
chr1	164160000	164160001
chr1	165040000	165040001
